tract,subject,pos,FA
8.0,1.0,59.0,0.47646
8.0,1.0,60.0,0.47352
8.0,1.0,61.0,0.46373
8.0,1.0,62.0,0.46571
8.0,1.0,63.0,0.46812
8.0,1.0,64.0,0.46378
8.0,1.0,65.0,0.46695
8.0,1.0,66.0,0.47248
8.0,1.0,67.0,0.46531
8.0,1.0,68.0,0.45813
8.0,1.0,69.0,0.46336
8.0,1.0,70.0,0.46058
8.0,1.0,71.0,0.44374
8.0,1.0,72.0,0.43111
8.0,1.0,73.0,0.40674
8.0,1.0,74.0,0.38921
8.0,1.0,75.0,0.39761
8.0,1.0,76.0,0.4093
8.0,1.0,77.0,0.42568
8.0,1.0,78.0,0.43318
8.0,1.0,79.0,0.43721
8.0,1.0,80.0,0.43787
8.0,1.0,81.0,0.44115
8.0,1.0,82.0,0.4546
8.0,1.0,83.0,0.45672
8.0,1.0,84.0,0.46471
8.0,1.0,85.0,0.46679
8.0,1.0,86.0,0.45157
8.0,1.0,87.0,0.43744
8.0,1.0,88.0,0.41713
8.0,1.0,89.0,0.38778
8.0,1.0,90.0,0.37257
8.0,1.0,91.0,0.36141
8.0,1.0,92.0,0.33349
8.0,1.0,93.0,0.29774
8.0,1.0,94.0,0.28366
8.0,1.0,95.0,0.28276
8.0,1.0,96.0,0.28267
8.0,1.0,97.0,0.28693
8.0,1.0,98.0,0.28215
8.0,1.0,99.0,0.23246
8.0,1.0,100.0,0.16814
9.0,1.0,1.0,0.24212
9.0,1.0,2.0,0.33118
9.0,1.0,3.0,0.40477
9.0,1.0,4.0,0.46926
9.0,1.0,5.0,0.49879
9.0,1.0,6.0,0.51395
9.0,1.0,7.0,0.53268
9.0,1.0,8.0,0.52825
9.0,1.0,9.0,0.49228
9.0,1.0,10.0,0.44246
9.0,1.0,11.0,0.39848
9.0,1.0,12.0,0.3938
9.0,1.0,13.0,0.42552
9.0,1.0,14.0,0.47787
9.0,1.0,15.0,0.51378
9.0,1.0,16.0,0.5165
9.0,1.0,17.0,0.49514
9.0,1.0,18.0,0.45747
9.0,1.0,19.0,0.44131
